text,Circulated as claim or as debunk or undecided,screen_name,user_id,tweet_id,retweet_count,created_at
"@franceinfo @EmmanuelMacron ""où son les millions @macron"" @compte offshore @redressementfiscal",claim,TITI30803228,560193794,839335177147011072,0,2017-03-08T04:41:14.000Z
"@lemondefr @EmmanuelMacron ""où son les millions"" @macron @redressement fiscal, @compteoffshore",claim,TITI30803228,560193794,839336737407123456,0,2017-03-08T04:47:26.000Z
#Macron aurait un compte aux #Bahamas?!!... https://t.co/M1CiDPtwbn,claim,pasmonpresident,1257851953,860045916832772096,1,2017-05-04T08:18:20.000Z
#presidentielle2017 Macron et son compte offshore: https://t.co/V57qH4nokt,claim,ElectronLibre00,779355592603426800,856699883683762178,2,2017-04-25T02:42:23.000Z
"@RaquelGarridoFI https://t.co/y2itHhlMOI
Compte offshore Macron censure canard enchainé",claim,aarebpanthers,7.65998E+17,855113842149511168,0,2017-04-20T17:40:01.000Z
"@JLMelenchon Macron aurait un compte offshore

https://t.co/y2itHhlMOI",claim,aarebpanthers,7.65998E+17,855112241334681600,0,2017-04-20T17:33:40.000Z
"⭕️ 

Compte aux Bahamas - Macron porte plainte contre Marine Le Pen

Le Pen accuse Macron d'avoir un compte aux Bahamas, il porte plainte",undecided,A_Addams_,2386122563,860083167587381250,0,2017-05-04T10:46:21.000Z
@JJBourdin_RMC @MLP_officiel Macron compte offshore !!!,claim,XavierCesari,8.39618E+17,860037151072948224,0,2017-05-04T07:43:30.000Z
"#LeGrandDebat #macrongate
compte offshore #macron ??",claim,nge_bleu,2365332486,859904285517250560,7,2017-05-03T22:55:32.000Z
Rumeur sur un prétendu « compte offshore aux Bahamas » : Macron contre-attaque https://t.co/YAb1UyTu0M,debunk,JeanJpmenard07,706161815181508600,920070632171241472,0,2017-10-16T23:35:07.000Z
Le patrimoine de #macron pose une question simple du style Cahuzac : Compte offshore? https://t.co/79DF1shmVy,claim,MarineElysee,777968891825909800,844812836937187329,9,2017-03-23T07:27:30.000Z
